     2.11           OBSERVATION DATA    M (MIXED)           RINEX VERSION / TYPE
JPS2RIN v.2.0.112   Sergey Smirnov      20170626 120329 UTC PGM / RUN BY / DATE
Sergey Smirnov      Saint-Petersburg State University       OBSERVER / AGENCY
vost_0626n                                                  MARKER NAME
                    JAVAD                                   REC # / TYPE / VERS
  2765332.1835  1615597.8327  5497278.3855                  APPROX POSITION XYZ
-Unknown-           -Unknown-                               ANT # / TYPE
        0.0000        0.0000        0.0000                  ANTENNA: DELTA H/E/N
     1     1                                                WAVELENGTH FACT L1/2
     5    C1    P1    L1    D1    S1                        # / TYPES OF OBSERV
    30.000                                                  INTERVAL
  2017     6    26    11    23   30.0000000     GPS         TIME OF FIRST OBS
  2017     6    26    11    42    0.0000000     GPS         TIME OF LAST OBS
    18                                                      LEAP SECONDS
     7                                                      # OF SATELLITES
   G 2    38    38    38    38    38                        PRN / # OF OBS
   G 4    38    38    38    38    38                        PRN / # OF OBS
   G 5    36    35    35    36    33                        PRN / # OF OBS
   G12    38    38    38    38    38                        PRN / # OF OBS
   G25    38    38    38    38    38                        PRN / # OF OBS
   G29    38    38    38    38    38                        PRN / # OF OBS
   G31    38    38    38    38    38                        PRN / # OF OBS
                                                            END OF HEADER
 17  6 26 11 30 30.0000000  0  7G31G 4G29G25G 2G 5G12                0.000129565
  21988344.095    21988343.905   115549527.251 6     -1373.063          36.750
  22707942.426    22707941.436   119331039.036 5      1134.859          31.000
  20287814.904    20287814.744   106613188.952 7       343.916          43.750
  21065456.181    21065455.651   110699720.435 7     -2839.772          44.250
  21998488.128    21998487.278   115602834.872 6     -2412.149          40.250
  23567179.562    23567177.432   123846416.680 2      2016.887          13.750
  23542551.417    23542551.457   123716951.516 4     -4457.622          27.250
 17  6 26 11 31  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000144080
  21996239.276    21996239.596   115591017.151 5     -1393.296          35.250
  22701512.150    22701511.310   119297249.413 5      1117.428          31.750
  20285895.905    20285895.655   106603101.800 7       328.144          44.250
  21081712.178    21081711.088   110785145.160 7     -2855.710          44.000
  22012298.313    22012297.983   115675409.865 6     -2426.591          40.750
  23555699.738    23555696.838   123786098.065 2      2004.163          13.750
  23568016.106    23568016.136   123850763.575 4     -4463.548          27.000
 17  6 26 11 31 30.0000000  0  7G31G 4G29G25G 2G 5G12                0.000158612
  22004252.624    22004252.474   115633128.115 5     -1414.217          34.250
  22695184.788    22695183.788   119263996.562 5      1099.321          32.000
  20284068.976    20284068.776   106593502.244 7       311.734          44.250
  21098061.180    21098060.400   110871063.229 7     -2872.228          43.000
  22026194.224    22026193.724   115748431.491 6     -2441.602          40.750
  23544296.740    23544295.030   123726170.243 2      1990.862          16.500
  23593515.637    23593515.357   123984766.454 4     -4470.035          27.500
 17  6 26 11 32  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000173161
  22012385.852    22012385.882   115675864.122 5     -1435.265          34.750
  22688959.501    22688957.561   119231287.346 5      1080.837          30.750
  20282335.828    20282335.738   106584395.659 7       295.034          43.500
  21114505.381    21114504.891   110957478.156 7     -2889.084          42.250
  22040175.120    22040174.390   115821903.296 6     -2456.849          39.500
  23532965.349    23532966.169   123666641.080 2      1977.514          15.250
  23619051.617    23619050.737   124118963.384 4     -4476.759          28.000
 17  6 26 11 32 30.0000000  0  7G31G 4G29G25G 2G 5G12                0.000187733
  22020638.704    22020638.254   115719231.973 5     -1455.989          34.250
  22682840.221    22682839.871   119199131.167 4      1062.803          29.250
  20280698.314    20280698.284   106575789.823 7       278.637          44.250
  21131045.297    21131044.567   111044395.892 7     -2905.502          42.250
  22054242.971    22054242.461   115895830.749 6     -2471.706          39.500
  23521720.206    23521720.236   123607520.865 2      1963.961          17.000
  23644626.423    23644627.483   124253359.634 4     -4483.115          27.500
 17  6 26 11 33  0.0000000  0  7G31G 4G29G25G 2G 5G12                0.000202321
  22029009.221    22029009.691   115763220.753 5     -1476.721          32.000
  22676825.063    22676824.113   119167519.853 5      1044.442          30.250
  20279154.065    20279154.075   106567675.191 7       262.323          44.000
  21147678.802    21147678.482   111131804.898 7     -2921.786          43.250
  22068396.029    22068394.839   115970202.096 6     -2486.348          39.500
  23510543.541    23510544.141   123548802.305 3      1950.562          20.750
  23670236.913    23670236.793   124387943.171 4     -4489.212          26.000
